1. 귀하의 성별은 무엇입니까?,2. 귀하의 연령대는 어떻게 됩니까?,"3. 귀하의 매장 입장 시, 점원들의 환영(‘반갑습니다. 투썸입니다.’)이 매장 친절도에 어느 정도 영향을 끼칩니까?","4. 귀하의 매장 퇴장 시, 점원들의 인사(‘감사합니다. 다음에 또 뵙겠습니다.’)가 매장 친절도에 어느 정도 영향을 끼칩니까?",5. 귀하의 주문 시 점원들의 말투(어투)에 어느 정도 4하십니까?,6. 귀하의 주문 시 점원들이 성실도에 어느 정도 4하십니까?,7. 점원들의 커피 및 디저트에 대한 지식수준에 어느 정도 4하십니까?,"8. 귀하의 투썸 꿈의교회점 방문이 1회 이상이라면, 맛의 일정함은 어느 정도입니까? (첫 방문 고객께서는 8번 문항에서 ‘□ 커피’를 체크해주십시오.)","9. 음료나 디저트를 주문하여 받은 냅킨, 빨대, 컵 등의 비품들의 청결 상태 4도는 어느 정도입니까?","10. 매장 내 서비스 테이블(시럽, 쓰레기통, 물 등)에 대한 4도는 어느 정도입니까?",투썸 꿈의 교회점에 대한 고객님의 의견을 자유롭기 기재해주시기 바랍니다. (고객님의 소중한 의견이 매장 환경 개선에 도움이 됩니다. 단순 비방 글은 삼가 바랍니다.)
여성,20대,2,4,4,5,5,2,3,2,매장이 어둡습니다.
여성,30대,2,2,4,3,4,3,4,4,주차장 설명이 미흡해 주차하는데 오래 걸립니다.
남성,30대,5,5,5,5,5,5,5,5,
여성,20대,2,2,4,4,3,4,3,2,매장이 노후되고 깔끔하지 않다라는 느낌을 많이 받는다. 뭐가 많이있고 정돈된 느낌이 없이 옛날 느낌이 가득하다. 직원들은 친절하고 서비스에 관해서는 4하고 불만사항이 없다.
여성,20대,4,5,4,4,5,5,4,4,투썸은 행사나 프로모션이 많습니다. 직우너분들이 친절히 설명은 해주시나 행사내용 자체가 어려워서 이해가 안됩니다. 손님들도 이해하기 쉬운 프로모션이 생기면 좋을 것 같습니다.
남성,20대,4,4,5,5,5,5,5,5,
여성,30대,4,4,4,4,4,5,5,4,
여성,20대,3,3,5,5,4,4,5,4,"직원들은 친절합니다만, 가끔씩 주말에 점주로 보이는 분이 카운터 잘 모르는데 응대하셔서 저를 비롯 뒤에 기다리시던 분들이 불편함을 느꼈습니다. 음료 기다리는데 직원들에게 소리치는 것도, 유니폼을 안 입은 것도 보기 안 좋았습니다. 신경써주시면 좋겠습니다. 음료는 늘 맛있습니다."
여성,40대,4,4,4,4,3,4,4,4,
여성,30대,3,4,4,4,4,0,4,4,
여성,40대,3,4,4,4,5,4,4,4,
여성,20대,4,4,5,4,4,4,4,3,음료 나오는 시간이 빠릅니다. 커피랑 먹는 케익도 다 맛있습니다.
여성,40대,4,4,3,3,3,3,3,3,
여성,20대,4,4,5,5,4,2,4,3,"사복 입으신 분 사장님이신지 말투가 상냥하지만 전문적이지 않는 아줌마 말투여서 그냥 직원들이 해주셨으면 좋겠습니다. 부담스럽고, 설명 듣고싶지 않습니다."
남성,30대,4,4,5,5,5,5,5,5,
남성,20대,3,4,3,2,4,4,5,4,올 때 마다 불편함을 모느꼈기에 따로 개선할 점은 없는 듯 합니다.
여성,50대 이상,4,4,4,4,4,4,4,4,종업원들의 친절도가 매장의 이미지 향상에 큰 영향을 미친다고 생각합니다. 특히 치절한 제품 설명과 인사에 따라 다시 오고 싶은 생각을 갖게 합니다. 커피나 디저트의 맛이 좋습니다.
여성,20대,3,5,5,4,4,3,4,4,다른 카페에 비해 음료가 빨리 나와서 좋습니다.
여성,30대,3,3,5,4,2,4,3,4,방문시 이벤트가 항상 있어서 기대됩니다. 다만 테이블 청결은 조금 더 신경써주시길 바랍니다.
남성,30대,3,3,3,3,5,5,4,4,"메뉴에 대한 설명을 친절히 잘 해줍니다. 다만, 매장 입장과 퇴장 시 인사하는 목소리가 더 밝았으면 좋겠습니다."
남성,50대 이상,5,5,5,5,4,4,4,4,변함없이 현재처럼 잘 해주길 바랍니다. 번창하길 기원합니다.
여성,20대,4,3,5,5,4,4,4,3,
남성,50대 이상,5,3,4,4,4,3,2,4,
여성,50대 이상,5,5,3,3,3,4,4,4,
여성,50대 이상,4,5,5,5,4,4,4,4,
